Customer Key,GeographyKey,Customer Code,Title,Name,Birth Date,Marital Status,Gender,Yearly Income,Total Children,Children At Home,Education,Occupation,House Ownership,Cars Owned,Continent,City,State,Country,Date First Purchase,Customer Type,Company Name
25,470,11024,,"Xie, Russell",1978/09/17,M,M,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Concord,California,United States,2003/12/29,Person,
37,516,11036,,"Russell, Jennifer",1978/12/18,M,F,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,National City,California,United States,2003/07/26,Person,
42,633,11041,,"Carter, Amanda",1977/10/16,M,F,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Glendale,California,United States,2003/07/18,Person,
44,633,11043,,"Simmons, Nathan",1976/02/24,M,M,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Glendale,California,United States,2003/11/09,Person,
929,625,11928,,"Morris, Isabella",1978/09/07,M,F,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,El Cajon,California,United States,2003/12/02,Person,
939,472,11938,,"Alexander, Seth",1977/09/21,M,M,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Daly City,California,United States,2003/09/08,Person,
955,633,11954,,"Garcia, Joseph",1975/08/17,M,M,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Glendale,California,United States,2002/05/04,Person,
956,633,11955,,"Green, Gabriel",1975/04/05,S,M,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Glendale,California,United States,2002/05/01,Person,
2031,619,13030,,"Lopez, Sophia",1977/07/13,S,F,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Coronado,California,United States,2004/03/12,Person,
2987,552,13986,,"Anderson, Chloe",1979/10/25,M,F,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Spring Valley,California,United States,2002/07/11,Person,
2994,445,13993,,"Patterson, Zachary",1978/08/24,M,M,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Burlingame,California,United States,2002/07/10,Person,
3005,472,14004,,"Kelly, Caitlin",1977/04/13,M,F,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Daly City,California,United States,2004/02/27,Person,
4012,475,15011,,"Mitchell, Amber",1977/11/13,S,F,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Downey,California,United States,2004/01/10,Person,
4429,552,15428,,"Howard, Richard",1979/05/01,M,M,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Spring Valley,California,United States,2002/12/17,Person,
4433,469,15432,,"Kumar, Alvin",1978/08/18,S,M,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Colma,California,United States,2002/12/23,Person,
5020,560,16019,,"Hernandez, Amber",1979/02/02,S,F,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Torrance,California,United States,2004/02/11,Person,
5337,475,16336,,"Wright, Jonathan",1977/06/08,M,M,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Downey,California,United States,2004/04/03,Person,
5357,527,16356,,"Baker, Sophia",1975/12/18,M,F,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Palo Alto,California,United States,2004/01/16,Person,
5491,690,16490,,"Robinson, Megan",1980/05/17,M,F,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,San Gabriel,California,United States,2003/11/20,Person,
5504,658,16503,,"Anderson, Christian",1975/03/02,M,M,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Mill Valley,California,United States,2003/11/18,Person,
5653,643,16652,,"Richardson, Nicole",1973/08/06,M,F,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,La Jolla,California,United States,2004/01/25,Person,
6481,658,17480,,"Gonzalez, Lucas",1978/08/20,S,M,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Mill Valley,California,United States,2003/12/19,Person,
6507,584,17506,,"Simmons, Alexandria",1973/04/19,M,F,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Berkeley,California,United States,2003/08/07,Person,
7449,652,18448,,"Bailey, Jennifer",1978/01/02,M,F,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Long Beach,California,United States,2004/04/15,Person,
7455,443,18454,,"Perez, George",1977/11/23,S,M,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Burbank,California,United States,2003/08/02,Person,
7474,643,18473,,"Rogers, Nathaniel",1975/05/27,M,M,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,La Jolla,California,United States,2004/02/07,Person,
7475,652,18474,,"Smith, James",1975/07/11,M,M,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Long Beach,California,United States,2004/04/04,Person,
7799,633,18798,,"Allen, Andrea",1978/06/13,M,F,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Glendale,California,United States,2004/05/03,Person,
7893,469,18892,,"Howard, Chase",1977/11/16,S,M,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Colma,California,United States,2004/05/18,Person,
8672,470,19671,,"Davis, Michael",1978/07/02,M,M,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Concord,California,United States,2003/09/27,Person,
8757,610,19756,,"Yuan, Nicolas",1977/08/03,S,M,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Chula Vista,California,United States,2004/02/15,Person,
8760,538,19759,,"Barnes, Sydney",1976/04/06,M,F,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Redwood City,California,United States,2003/11/30,Person,
8779,516,19778,,"Jones, Isabella",1975/08/16,M,F,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,National City,California,United States,2003/08/24,Person,
9412,625,20411,,"James, Cole",1977/06/05,M,M,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,El Cajon,California,United States,2003/11/15,Person,
9414,584,20413,,"Powell, Taylor",1976/05/06,M,F,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Berkeley,California,United States,2003/09/24,Person,
9415,667,20414,,"Bailey, Amanda",1976/11/23,M,F,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Newport Beach,California,United States,2004/04/13,Person,
9423,688,20422,,"Brooks, Maria",1980/08/17,S,F,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,San Diego,California,United States,2004/01/09,Person,
9436,502,20435,,"Green, Natalie",1975/11/26,M,F,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Lemon Grove,California,United States,2004/01/17,Person,
9439,570,20438,,"Scott, Robert",1975/12/22,S,M,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,West Covina,California,United States,2003/10/13,Person,
10283,631,21282,,"Smith, Julia",1978/03/10,M,F,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Fremont,California,United States,2004/04/11,Person,
10369,472,21368,,"Collins, Mason",1977/09/26,M,M,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Daly City,California,United States,2003/12/31,Person,
10399,552,21398,,"Diaz, Ethan",1975/03/25,M,M,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Spring Valley,California,United States,2004/05/28,Person,
10400,707,21399,,"Hughes, Ian",1975/11/25,M,M,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Woodland Hills,California,United States,2004/05/01,Person,
11153,652,22152,,"King, Marcus",1978/02/18,M,M,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Long Beach,California,United States,2004/06/09,Person,
11163,443,22162,,"Yuan, Brad",1977/04/11,M,M,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Burbank,California,United States,2003/12/07,Person,
11164,645,22163,,"Scott, Morgan",1977/07/01,S,F,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Lakewood,California,United States,2003/08/08,Person,
11185,645,22184,,"Carter, Jeremy",1975/07/27,M,M,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Lakewood,California,United States,2004/04/15,Person,
11186,527,22185,,"Henderson, Connor",1975/06/02,M,M,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Palo Alto,California,United States,2003/09/27,Person,
12081,502,23080,,"Barnes, Jocelyn",1978/03/09,S,F,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Lemon Grove,California,United States,2003/11/17,Person,
12319,502,23318,,"Morgan, Patrick",1978/10/03,S,M,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Lemon Grove,California,United States,2004/02/04,Person,
12338,707,23337,,"Green, Isaiah",1975/11/07,M,M,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Woodland Hills,California,United States,2004/03/31,Person,
12339,494,23338,,"Jenkins, Lucas",1973/12/13,M,M,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Imperial Beach,California,United States,2004/02/18,Person,
13233,570,24232,,"Johnson, Ryan",1979/02/17,S,M,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,West Covina,California,United States,2004/06/20,Person,
13239,584,24238,,"Richardson, Sean",1978/09/07,M,M,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Berkeley,California,United States,2004/06/21,Person,
13240,494,24239,,"Hernandez, Miguel",1978/11/27,M,M,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Imperial Beach,California,United States,2004/06/04,Person,
13262,470,24261,,"Jones, Emma",1977/06/15,S,F,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Concord,California,United States,2004/01/13,Person,
13264,643,24263,,"Brooks, Brooke",1977/08/15,M,F,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,La Jolla,California,United States,2004/01/13,Person,
13290,488,24289,,"Gonzalez, Robert",1975/12/16,S,M,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Grossmont,California,United States,2003/10/06,Person,
14917,443,25916,,"Serrano, Naomi",1978/07/13,M,F,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Burbank,California,United States,2001/11/13,Person,
15547,494,26546,,"Bennett, Miguel",1978/06/26,M,M,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Imperial Beach,California,United States,2002/11/02,Person,
15558,619,26557,,"Morgan, Katelyn",1976/07/13,S,F,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Coronado,California,United States,2003/11/12,Person,
15577,502,26576,,"Robinson, Kaitlyn",1975/01/10,M,F,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Lemon Grove,California,United States,2003/12/02,Person,
15578,658,26577,,"Edwards, Cindy",1975/02/02,M,F,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Mill Valley,California,United States,2003/12/03,Person,
15579,658,26578,,"White, Jeremy",1975/10/25,S,M,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Mill Valley,California,United States,2004/04/30,Person,
16468,619,27467,,"Coleman, Jackson",1978/03/16,M,M,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Coronado,California,United States,2003/06/23,Person,
16479,610,27478,,"Alvarez, Sheila",1977/06/12,M,F,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Chula Vista,California,United States,2003/10/11,Person,
17097,584,28096,,"Stewart, Alexandra",1978/11/19,M,F,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Berkeley,California,United States,2001/09/15,Person,
17098,610,28097,,"Barnes, Jennifer",1978/09/03,S,F,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Chula Vista,California,United States,2001/09/09,Person,
17105,619,28104,,"Williams, Hannah",1977/08/21,M,F,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Coronado,California,United States,2004/06/01,Person,
17107,488,28106,,"Williams, Chloe",1977/05/27,M,F,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Grossmont,California,United States,2003/10/17,Person,
17126,631,28125,,"Jackson, Dalton",1975/09/22,M,M,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Fremont,California,United States,2004/06/15,Person,
17127,633,28126,,"Johnson, Anna",1975/01/12,M,F,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Glendale,California,United States,2003/10/11,Person,
17128,691,28127,,"Price, Fernando",1975/06/18,M,M,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Santa Cruz,California,United States,2003/10/09,Person,
18057,570,29056,,"Griffin, Angelica",1979/03/05,M,F,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,West Covina,California,United States,2001/12/11,Person,
18060,475,29059,,"Perry, Jocelyn",1978/06/20,S,F,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Downey,California,United States,2001/12/27,Person,
18071,645,29070,,"Simmons, Arianna",1978/05/15,S,F,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Lakewood,California,United States,2001/12/30,Person,
18111,653,29110,,"Smith, Sydney",1973/04/11,S,F,60000,0,0,Partial College,Skilled Manual,House Owner,2,North America,Los Angeles,California,United States,2001/12/18,Person,
54,688,11053,,"Price, Ana",1980/08/20,M,F,60000,0,0,Partial College,Skilled Manual,No Owner,2,North America,San Diego,California,United States,2003/07/21,Person,
66,643,11065,,"Henderson, Jessica",1973/10/09,M,F,60000,0,0,Partial College,Skilled Manual,No Owner,2,North America,La Jolla,California,United States,2003/08/14,Person,
940,494,11939,,"Washington, Kevin",1977/06/22,S,M,60000,0,0,Partial College,Skilled Manual,No Owner,2,North America,Imperial Beach,California,United States,2002/05/13,Person,
2032,502,13031,,"Shan, Hunter",1977/02/16,S,M,60000,0,0,Partial College,Skilled Manual,No Owner,2,North America,Lemon Grove,California,United States,2003/09/26,Person,
2034,520,13033,,"Gonzalez, Xavier",1976/11/20,S,M,60000,0,0,Partial College,Skilled Manual,No Owner,2,North America,Oakland,California,United States,2004/07/20,Person,
2993,445,13992,,"Xie, Gregory",1978/06/06,S,M,60000,0,0,Partial College,Skilled Manual,No Owner,2,North America,Burlingame,California,United States,2002/07/07,Person,
